Date,Production,Plantation,Lag3_Plantation,Milho_Price,Soya_Price,Interest_Rate
1/1/2012,0.0,0.0,0.0,272.84,498.0,9.8589
2/1/2012,30.8224,0.0,384.0,279.46,512.0,9.3174
3/1/2012,87.36875789473685,0.0,0.0,280.69,543.0,8.9862
4/1/2012,410.1928421052632,0.0,0.0,274.0,575.0,8.4999
5/1/2012,0.0,0.0,0.0,269.28,573.0,7.9716
6/1/2012,0.0,0.0,0.0,267.31,567.0,7.6076
7/1/2012,0.0,0.0,0.0,333.05,662.0,7.2953
8/1/2012,0.0,0.0,0.0,331.99,684.0,8.277000000000001
9/1/2012,0.0,0.0,0.0,320.85,670.0,7.5788
10/1/2012,0.0,12.433333333333335,0.0,321.24,617.0,7.2399
11/1/2012,0.0,341.9166666666667,0.0,321.64,589.0,7.1409
12/1/2012,0.0,18.649999999999977,0.0,308.65,607.0,7.0357
1/1/2013,0.0,0.0,12.433333333333335,303.13,592.0,7.3737
2/1/2013,0.0,0.0,341.9166666666667,302.74,596.0,7.8862
3/1/2013,596.8000000000001,0.0,18.649999999999977,309.04,511.0,8.0275
4/1/2013,149.19999999999987,0.0,0.0,279.91,495.0,7.7476
5/1/2013,0.0,0.0,0.0,295.54,497.0,8.0224
6/1/2013,0.0,0.0,0.0,298.41,524.0,8.6295
7/1/2013,0.0,0.0,0.0,279.51,509.0,9.01
8/1/2013,0.0,0.0,0.0,238.74,516.0,10.2779
9/1/2013,0.0,0.0,0.0,207.41,556.0,10.1777
10/1/2013,0.0,0.0,0.0,201.73,544.0,9.9838
11/1/2013,0.0,312.11764705882354,0.0,199.13,553.0,10.1783
12/1/2013,0.0,66.88235294117646,0.0,197.39,568.0,10.5595
1/1/2014,0.0,0.0,0.0,198.06,566.0,11.9399
2/1/2014,0.0,0.0,312.11764705882354,209.32,591.0,11.2757
3/1/2014,360.70187999999996,0.0,66.88235294117646,222.33,500.0,11.5092
4/1/2014,498.11212,0.0,0.0,222.36,516.0,11.3251
5/1/2014,0.0,0.0,0.0,217.3,521.25,11.1667
6/1/2014,0.0,0.0,0.0,202.39,516.0,10.9004
7/1/2014,0.0,0.0,0.0,182.73,480.0,10.9307
8/1/2014,0.0,0.0,0.0,176.42,460.0,11.3251
9/1/2014,0.0,0.0,0.0,163.06,432.0,11.6598
10/1/2014,0.0,11.402999999999999,0.0,163.12,424.0,11.6777
11/1/2014,0.0,278.67331578947363,0.0,178.74,449.0,11.8799
12/1/2014,0.0,90.02368421052637,0.0,178.73,446.0,12.8928
1/1/2015,0.0,0.0,11.402999999999999,174.71,433.21,12.6768
2/1/2015,0.0,0.0,278.67331578947363,173.7,423.55,13.2199
3/1/2015,115.3875,0.0,90.02368421052637,174.23,409.79,13.674000000000001
4/1/2015,359.7375,0.0,0.0,172.05,394.73,13.6275
5/1/2015,463.94558823529417,0.0,0.0,166.29,388.2,13.79
6/1/2015,11.179411764705833,0.0,0.0,166.72,391.48,14.0799
7/1/2015,0.0,0.0,0.0,179.6,405.87,14.165
8/1/2015,0.0,0.0,0.0,162.59,378.78,14.2725
9/1/2015,0.0,0.0,0.0,165.62,367.49,15.2022
10/1/2015,0.0,10.974577777777775,0.0,171.39,375.95,15.2552
11/1/2015,0.0,186.7938432748537,0.0,166.16,368.0,15.3218
12/1/2015,0.0,70.63157894736844,0.0,163.95,368.42,14.6346
1/1/2016,0.0,124.96637351267465,10.974577777777775,161.03,373.08,14.634
2/1/2016,0.0,0.0,186.7938432748537,159.68,373.75,13.554
3/1/2016,67.17764729064041,0.0,70.63157894736844,159.14,380.97,13.8614
4/1/2016,381.3623361576355,0.0,124.96637351267465,164.41,395.14,13.935
5/1/2016,230.3915051458888,0.0,0.0,168.96,422.55,13.9821
6/1/2016,42.25931140583556,0.0,0.0,179.87,457.4,13.614
7/1/2016,0.0,0.0,0.0,161.76,431.08,13.690999999999999
8/1/2016,0.0,0.0,0.0,150.15,412.17,13.6674
9/1/2016,0.0,0.0,0.0,148.43,403.53,13.3671
10/1/2016,0.0,7.690238370010744,0.0,152.26,401.87,12.5727
11/1/2016,0.0,58.00636941950962,0.0,151.8,397.76,12.3966
12/1/2016,0.0,102.13701869780502,0.0,152.45,416.07,12.27
1/1/2017,0.0,149.2085913920324,7.690238370010744,159.99,412.0,10.7447
2/1/2017,4.965888,0.0,58.00636941950962,162.86,394.53,10.0616
3/1/2017,65.38419200000001,0.0,102.13701869780502,158.96,383.68,10.2771
4/1/2017,711.7772800000001,0.0,149.2085913920324,156.44,387.44,9.8839
5/1/2017,400.9224282352941,0.0,0.0,158.59,389.72,11.0799
6/1/2017,58.422211764705715,0.0,0.0,157.93,378.59,11.7515
7/1/2017,0.0,0.0,0.0,157.51,410.23,9.5267
8/1/2017,0.0,0.0,0.0,148.5,392.87,7.6146
9/1/2017,0.0,0.0,0.0,147.29,393.95,7.1322
10/1/2017,0.0,0.0,0.0,148.62,396.52,7.0838
11/1/2017,0.0,27.94578875955805,0.0,148.7,393.85,6.8020000000000005
12/1/2017,0.0,133.84561984840954,0.0,148.98,387.15,6.7314
1/1/2018,0.0,0.0,0.0,155.84,389.53,9.2838
2/1/2018,0.0,0.0,27.94578875955805,163.36,416.28,6.6976
3/1/2018,38.03701417322834,0.0,133.84561984840954,172.0,430.11,6.1764
4/1/2018,104.60178897637793,0.0,0.0,175.6,439.07,6.14
5/1/2018,820.1731181102358,0.0,0.0,179.09,430.32,6.4489
6/1/2018,546.7820787401574,0.0,0.0,165.07,394.44,10.074
7/1/2018,0.0,0.0,0.0,156.46,377.17,6.9472
8/1/2018,0.0,0.0,0.0,162.37,376.77,8.1955
9/1/2018,0.0,0.0,0.0,154.8,356.87,7.8964
10/1/2018,0.0,3.289285714285714,0.0,160.26,367.96,7.1172
11/1/2018,0.0,59.20714285714285,0.0,160.69,374.04,6.4022
12/1/2018,0.0,244.50357142857143,0.0,167.44,380.53,6.3324
1/1/2019,0.0,0.978119342854557,3.289285714285714,166.74,382.35,6.4995
2/1/2019,0.0,0.11338647534075999,59.20714285714285,169.52,380.75,6.5843
3/1/2019,0.0,0.11614801986629801,244.50357142857143,170.79959271010298,363.803071324242,5.910311887362631
4/1/2019,0.0,0.100982323099644,0.978119342854557,169.77749508851102,369.51807217983804,6.411489078073469
5/1/2019,0.0,0.036505144879118,0.11338647534075999,169.929585606075,370.63768379245005,5.983559877051059
6/1/2019,0.0,0.0,0.11614801986629801,168.576985187654,369.65859785761705,6.74214324047129
7/1/2019,0.0,0.0,0.100982323099644,171.254936037046,375.94162402083504,5.840935944235441
8/1/2019,0.0,0.0,0.036505144879118,163.019992693414,373.153579417723,5.96477314473763
9/1/2019,0.0,0.0,0.0,157.524338264814,367.679791222964,5.55932386833838
10/1/2019,0.0,4.28922504543555,0.0,159.0916792597,361.18066873260597,5.4527880737359
11/1/2019,0.0,81.8647517140241,0.0,160.296268169499,363.07582677412995,5.78982606652536
12/1/2019,0.0,149.556310511612,0.0,157.71875686535,369.576379599759,5.56342277491543
