Date,Plantation,Exchange_Rate,Lag3_Soya_Price,Soya_Price
1/1/2012,104.19000000000003,1.785035,503.0,498.0
2/1/2012,590.4100000000001,1.7168,486.0,512.0
3/1/2012,0.0,1.7953,474.0,543.0
4/1/2012,0.0,1.8522476190476191,498.0,575.0
5/1/2012,0.0,1.9810227272727277,512.0,573.0
6/1/2012,0.0,2.048195238095238,543.0,567.0
7/1/2012,0.0,2.029552380952381,575.0,662.0
8/1/2012,0.0,2.0279434782608696,573.0,684.0
9/1/2012,0.0,2.026857894736842,567.0,670.0
10/1/2012,0.0,2.0297318181818182,662.0,617.0
11/1/2012,0.0,2.06622,684.0,589.0
12/1/2012,0.0,2.07746,670.0,607.0
1/1/2013,125.79000000000002,2.028109523809524,617.0,592.0
2/1/2013,687.6519999999999,1.9729315789473685,589.0,596.0
3/1/2013,25.15800000000001,1.9842142857142857,607.0,511.0
4/1/2013,0.0,2.001109090909091,592.0,495.0
5/1/2013,0.0,2.0364727272727277,596.0,497.0
6/1/2013,0.0,2.17336,511.0,524.0
7/1/2013,0.0,2.2518318181818184,495.0,509.0
8/1/2013,0.0,2.340790909090909,497.0,516.0
9/1/2013,0.0,2.264105,524.0,556.0
10/1/2013,0.0,2.1882227272727275,509.0,544.0
11/1/2013,0.0,2.295936842105263,516.0,553.0
12/1/2013,0.0,2.347095238095238,556.0,568.0
1/1/2014,76.18400000000001,2.3857809523809523,544.0,566.0
2/1/2014,638.0409999999999,2.3792,553.0,591.0
3/1/2014,238.0750000000001,2.3250523809523806,568.0,500.0
4/1/2014,0.0,2.2324727272727274,566.0,516.0
5/1/2014,0.0,2.219509523809524,591.0,521.25
6/1/2014,0.0,2.236019047619048,500.0,516.0
7/1/2014,0.0,2.2242136363636362,516.0,480.0
8/1/2014,0.0,2.268519047619048,521.25,460.0
9/1/2014,0.0,2.3378809523809525,516.0,432.0
10/1/2014,0.0,2.449531818181818,480.0,424.0
11/1/2014,0.0,2.5527277777777777,460.0,449.0
12/1/2014,0.0,2.6418857142857144,432.0,446.0
1/1/2015,79.44999999999997,2.63462,424.0,433.21
2/1/2015,866.0050000000001,2.8169894736842105,449.0,423.55
3/1/2015,166.8449999999999,3.1413727272727274,446.0,409.79
4/1/2015,0.0,3.0420909090909087,433.21,394.73
5/1/2015,0.0,3.056205,423.55,388.2
6/1/2015,0.0,3.1116909090909086,409.79,391.48
7/1/2015,0.0,3.228809090909091,394.73,405.87
8/1/2015,0.0,3.515433333333333,388.2,378.78
9/1/2015,0.0,3.903219047619048,391.48,367.49
10/1/2015,0.0,3.875238095238095,405.87,375.95
11/1/2015,0.0,3.785768421052632,378.78,368.0
12/1/2015,0.0,3.880836363636364,367.49,368.42
1/1/2016,6.083795454545455,4.05558947368421,375.95,373.08
2/1/2016,758.7362045454546,3.964385,368.0,373.75
3/1/2016,505.3275,3.6980217391304344,368.42,380.97
4/1/2016,4.552500000000009,3.5634476190476194,373.08,395.14
5/1/2016,0.0,3.5403047619047614,373.75,422.55
6/1/2016,0.0,3.4234454545454542,380.97,457.4
7/1/2016,0.0,3.27814,395.14,431.08
8/1/2016,0.0,3.2085521739130436,422.55,412.17
9/1/2016,0.0,3.2531809523809523,457.4,403.53
10/1/2016,0.0,3.185395,431.08,401.87
11/1/2016,0.0,3.33689,412.17,397.76
12/1/2016,0.0,3.353966666666667,403.53,416.07
1/1/2017,169.70961538461538,3.190084210526316,401.87,412.0
2/1/2017,758.1655846153847,3.1057263157894734,397.76,394.53
3/1/2017,332.8248,3.1275304347826087,416.07,383.68
4/1/2017,0.0,3.138995,412.0,387.44
5/1/2017,0.0,3.2042772727272726,394.53,389.72
6/1/2017,0.0,3.2953954545454542,383.68,378.59
7/1/2017,0.0,3.19941,387.44,410.23
8/1/2017,0.0,3.147791304347826,389.72,392.87
9/1/2017,0.0,3.132515,378.59,393.95
10/1/2017,0.0,3.192266666666667,410.23,396.52
11/1/2017,0.0,3.26293,392.87,393.85
12/1/2017,0.0,3.29496,393.95,387.15
1/1/2018,35.15428571428571,3.211523809523809,396.52,389.53
2/1/2018,826.1257142857143,3.2506526315789475,393.85,416.28
3/1/2018,369.1200000000002,3.2789681818181817,387.15,430.11
4/1/2018,0.0,3.4088857142857143,389.53,439.07
5/1/2018,0.0,3.6316,416.28,430.32
6/1/2018,0.0,3.771047619047619,430.11,394.44
7/1/2018,0.0,3.822095238095238,439.07,377.17
8/1/2018,0.0,3.9333217391304345,430.32,376.77
9/1/2018,0.0,4.108747368421053,394.44,356.87
10/1/2018,0.0,3.761113636363637,377.17,367.96
11/1/2018,0.0,3.78595,376.77,374.04
12/1/2018,0.0,3.883355555555556,356.87,380.53
1/1/2019,399.12,3.735565,367.96,382.35
2/1/2019,682.0517333333336,3.724433333333333,374.04,380.75
3/1/2019,249.22826666666649,3.73586320775015,380.53,363.803071324242
4/1/2019,0.0,3.6957914372487797,382.35,369.51807217983804
5/1/2019,0.0,3.72510284512667,380.75,370.63768379245005
6/1/2019,0.0,3.74957636594419,363.803071324242,369.65859785761705
7/1/2019,0.0,3.73523662312877,369.51807217983804,375.94162402083504
8/1/2019,0.0,3.77093790800061,370.63768379245005,373.153579417723
9/1/2019,0.0,3.83131351086432,369.65859785761705,367.679791222964
10/1/2019,0.0,3.8273876875422994,375.94162402083504,361.18066873260597
11/1/2019,0.0,3.85857162691347,373.153579417723,363.07582677412995
12/1/2019,0.0,3.8943019394206804,367.679791222964,369.576379599759
