Years,Month,Exchange_Rate,Interest_Rate,Milho_Price,Lag1_Milho_Price,Lag3_Milho_Price,Soya_Price,Lag1_Soya_Price,Lag3_Soya_Price,Lag6_Soya_Price
2012,1,1.785035,9.8589,272.84,258.65,274.79,498.0,474.0,503.0,559.0
2012,2,1.7168,9.3174,279.46,272.84,274.39,512.0,498.0,486.0,558.0
2012,3,1.7953,8.9862,280.69,279.46,258.65,543.0,512.0,474.0,543.0
2012,4,1.8522476190476191,8.4999,274.0,280.69,272.84,575.0,543.0,498.0,503.0
2012,5,1.9810227272727277,7.9716,269.28,274.0,279.46,573.0,575.0,512.0,486.0
2012,6,2.048195238095238,7.6076,267.31,269.28,280.69,567.0,573.0,543.0,474.0
2012,7,2.029552380952381,7.2953,333.05,267.31,274.0,662.0,567.0,575.0,498.0
2012,8,2.0279434782608696,8.277000000000001,331.99,333.05,269.28,684.0,662.0,573.0,512.0
2012,9,2.026857894736842,7.5788,320.85,331.99,267.31,670.0,684.0,567.0,543.0
2012,10,2.0297318181818182,7.2399,321.24,320.85,333.05,617.0,670.0,662.0,575.0
2012,11,2.06622,7.1409,321.64,321.24,331.99,589.0,617.0,684.0,573.0
2012,12,2.07746,7.0357,308.65,321.64,320.85,607.0,589.0,670.0,567.0
2013,1,2.028109523809524,7.3737,303.13,308.65,321.24,592.0,607.0,617.0,662.0
2013,2,1.9729315789473685,7.8862,302.74,303.13,321.64,596.0,592.0,589.0,684.0
2013,3,1.9842142857142857,8.0275,309.04,302.74,308.65,511.0,596.0,607.0,670.0
2013,4,2.001109090909091,7.7476,279.91,309.04,303.13,495.0,511.0,592.0,617.0
2013,5,2.0364727272727277,8.0224,295.54,279.91,302.74,497.0,495.0,596.0,589.0
2013,6,2.17336,8.6295,298.41,295.54,309.04,524.0,497.0,511.0,607.0
2013,7,2.2518318181818184,9.01,279.51,298.41,279.91,509.0,524.0,495.0,592.0
2013,8,2.340790909090909,10.2779,238.74,279.51,295.54,516.0,509.0,497.0,596.0
2013,9,2.264105,10.1777,207.41,238.74,298.41,556.0,516.0,524.0,511.0
2013,10,2.1882227272727275,9.9838,201.73,207.41,279.51,544.0,556.0,509.0,495.0
2013,11,2.295936842105263,10.1783,199.13,201.73,238.74,553.0,544.0,516.0,497.0
2013,12,2.347095238095238,10.5595,197.39,199.13,207.41,568.0,553.0,556.0,524.0
2014,1,2.3857809523809523,11.9399,198.06,197.39,201.73,566.0,568.0,544.0,509.0
2014,2,2.3792,11.2757,209.32,198.06,199.13,591.0,566.0,553.0,516.0
2014,3,2.3250523809523806,11.5092,222.33,209.32,197.39,500.0,591.0,568.0,556.0
2014,4,2.2324727272727274,11.3251,222.36,222.33,198.06,516.0,500.0,566.0,544.0
2014,5,2.219509523809524,11.1667,217.3,222.36,209.32,521.25,516.0,591.0,553.0
2014,6,2.236019047619048,10.9004,202.39,217.3,222.33,516.0,521.25,500.0,568.0
2014,7,2.2242136363636362,10.9307,182.73,202.39,222.36,480.0,516.0,516.0,566.0
2014,8,2.268519047619048,11.3251,176.42,182.73,217.3,460.0,480.0,521.25,591.0
2014,9,2.3378809523809525,11.6598,163.06,176.42,202.39,432.0,460.0,516.0,500.0
2014,10,2.449531818181818,11.6777,163.12,163.06,182.73,424.0,432.0,480.0,516.0
2014,11,2.5527277777777777,11.8799,178.74,163.12,176.42,449.0,424.0,460.0,521.25
2014,12,2.6418857142857144,12.8928,178.73,178.74,163.06,446.0,449.0,432.0,516.0
2015,1,2.63462,12.6768,174.71,178.73,163.12,433.21,446.0,424.0,480.0
2015,2,2.8169894736842105,13.2199,173.7,174.71,178.74,423.55,433.21,449.0,460.0
2015,3,3.1413727272727274,13.674000000000001,174.23,173.7,178.73,409.79,423.55,446.0,432.0
2015,4,3.0420909090909087,13.6275,172.05,174.23,174.71,394.73,409.79,433.21,424.0
2015,5,3.056205,13.79,166.29,172.05,173.7,388.2,394.73,423.55,449.0
2015,6,3.1116909090909086,14.0799,166.72,166.29,174.23,391.48,388.2,409.79,446.0
2015,7,3.228809090909091,14.165,179.6,166.72,172.05,405.87,391.48,394.73,433.21
2015,8,3.515433333333333,14.2725,162.59,179.6,166.29,378.78,405.87,388.2,423.55
2015,9,3.903219047619048,15.2022,165.62,162.59,166.72,367.49,378.78,391.48,409.79
2015,10,3.875238095238095,15.2552,171.39,165.62,179.6,375.95,367.49,405.87,394.73
2015,11,3.785768421052632,15.3218,166.16,171.39,162.59,368.0,375.95,378.78,388.2
2015,12,3.880836363636364,14.6346,163.95,166.16,165.62,368.42,368.0,367.49,391.48
2016,1,4.05558947368421,14.634,161.03,163.95,171.39,373.08,368.42,375.95,405.87
2016,2,3.964385,13.554,159.68,161.03,166.16,373.75,373.08,368.0,378.78
2016,3,3.6980217391304344,13.8614,159.14,159.68,163.95,380.97,373.75,368.42,367.49
2016,4,3.5634476190476194,13.935,164.41,159.14,161.03,395.14,380.97,373.08,375.95
2016,5,3.5403047619047614,13.9821,168.96,164.41,159.68,422.55,395.14,373.75,368.0
2016,6,3.4234454545454542,13.614,179.87,168.96,159.14,457.4,422.55,380.97,368.42
2016,7,3.27814,13.690999999999999,161.76,179.87,164.41,431.08,457.4,395.14,373.08
2016,8,3.2085521739130436,13.6674,150.15,161.76,168.96,412.17,431.08,422.55,373.75
2016,9,3.2531809523809523,13.3671,148.43,150.15,179.87,403.53,412.17,457.4,380.97
2016,10,3.185395,12.5727,152.26,148.43,161.76,401.87,403.53,431.08,395.14
2016,11,3.33689,12.3966,151.8,152.26,150.15,397.76,401.87,412.17,422.55
2016,12,3.353966666666667,12.27,152.45,151.8,148.43,416.07,397.76,403.53,457.4
2017,1,3.190084210526316,10.7447,159.99,152.45,152.26,412.0,416.07,401.87,431.08
2017,2,3.1057263157894734,10.0616,162.86,159.99,151.8,394.53,412.0,397.76,412.17
2017,3,3.1275304347826087,10.2771,158.96,162.86,152.45,383.68,394.53,416.07,403.53
2017,4,3.138995,9.8839,156.44,158.96,159.99,387.44,383.68,412.0,401.87
2017,5,3.2042772727272726,11.0799,158.59,156.44,162.86,389.72,387.44,394.53,397.76
2017,6,3.2953954545454542,11.7515,157.93,158.59,158.96,378.59,389.72,383.68,416.07
2017,7,3.19941,9.5267,157.51,157.93,156.44,410.23,378.59,387.44,412.0
2017,8,3.147791304347826,7.6146,148.5,157.51,158.59,392.87,410.23,389.72,394.53
2017,9,3.132515,7.1322,147.29,148.5,157.93,393.95,392.87,378.59,383.68
2017,10,3.192266666666667,7.0838,148.62,147.29,157.51,396.52,393.95,410.23,387.44
2017,11,3.26293,6.8020000000000005,148.7,148.62,148.5,393.85,396.52,392.87,389.72
2017,12,3.29496,6.7314,148.98,148.7,147.29,387.15,393.85,393.95,378.59
2018,1,3.211523809523809,9.2838,155.84,148.98,148.62,389.53,387.15,396.52,410.23
2018,2,3.2506526315789475,6.6976,163.36,155.84,148.7,416.28,389.53,393.85,392.87
2018,3,3.2789681818181817,6.1764,172.0,163.36,148.98,430.11,416.28,387.15,393.95
2018,4,3.4088857142857143,6.14,175.6,172.0,155.84,439.07,430.11,389.53,396.52
2018,5,3.6316,6.4489,179.09,175.6,163.36,430.32,439.07,416.28,393.85
2018,6,3.771047619047619,10.074,165.07,179.09,172.0,394.44,430.32,430.11,387.15
2018,7,3.822095238095238,6.9472,156.46,165.07,175.6,377.17,394.44,439.07,389.53
2018,8,3.9333217391304345,8.1955,162.37,156.46,179.09,376.77,377.17,430.32,416.28
2018,9,4.108747368421053,7.8964,154.8,162.37,165.07,356.87,376.77,394.44,430.11
2018,10,3.761113636363637,7.1172,160.26,154.8,156.46,367.96,356.87,377.17,439.07
2018,11,3.78595,6.4022,160.69,160.26,162.37,374.04,367.96,376.77,430.32
2018,12,3.883355555555556,6.3324,167.44,160.69,154.8,380.53,374.04,356.87,394.44
2019,1,3.735565,6.4995,166.74,167.44,160.26,382.35,380.53,367.96,377.17
2019,2,3.724433333333333,6.5843,169.52,166.74,160.69,380.75,382.35,374.04,376.77
2019,3,3.73586320775015,5.910311887362631,170.79959271010298,169.52,167.44,363.803071324242,380.75,380.53,356.87
2019,4,3.6957914372487797,6.411489078073469,169.77749508851102,170.79959271010298,166.74,369.51807217983804,363.803071324242,382.35,367.96
2019,5,3.72510284512667,5.983559877051059,169.929585606075,169.77749508851102,169.52,370.63768379245005,369.51807217983804,380.75,374.04
2019,6,3.74957636594419,6.74214324047129,168.576985187654,169.929585606075,170.79959271010298,369.65859785761705,370.63768379245005,363.803071324242,380.53
2019,7,3.73523662312877,5.840935944235441,171.254936037046,168.576985187654,169.77749508851102,375.94162402083504,369.65859785761705,369.51807217983804,382.35
2019,8,3.77093790800061,5.96477314473763,163.019992693414,171.254936037046,169.929585606075,373.153579417723,375.94162402083504,370.63768379245005,380.75
2019,9,3.83131351086432,5.55932386833838,157.524338264814,163.019992693414,168.576985187654,367.679791222964,373.153579417723,369.65859785761705,363.803071324242
2019,10,3.8273876875422994,5.4527880737359,159.0916792597,157.524338264814,171.254936037046,361.18066873260597,367.679791222964,375.94162402083504,369.51807217983804
2019,11,3.85857162691347,5.78982606652536,160.296268169499,159.0916792597,163.019992693414,363.07582677412995,361.18066873260597,373.153579417723,370.63768379245005
2019,12,3.8943019394206804,5.56342277491543,157.71875686535,160.296268169499,157.524338264814,369.576379599759,363.07582677412995,367.679791222964,369.65859785761705
